Wall time,Step,Value
1728801155.5811048,507800,1050.0
1728801159.5405755,508732,1010.0
1728801173.3181472,510215,800.0
1728801176.6220732,511037,1460.0
1728801180.0178933,511874,1800.0
1728801187.1038501,513604,660.0
1728801190.2944026,514364,1120.0
1728801195.9304976,515699,760.0
1728801201.8852723,517131,900.0
1728801205.0691655,517878,1480.0
1728801212.4574578,519620,610.0
1728801225.8802197,521398,1170.0
1728801227.9500172,521889,560.0
1728801239.6182418,524658,1230.0
1728801242.122431,525252,1390.0
1728801245.3380787,526013,1710.0
1728801247.8935337,526620,780.0
1728801251.0938761,527375,2310.0
1728801255.565667,528448,1070.0
1728801259.0212982,529261,2450.0
1728801260.9865294,529723,650.0
1728801270.1116736,530149,400.0
1728801273.6132371,530979,1740.0
1728801275.481611,531423,440.0
1728801279.8904867,532475,920.0
1728801282.680142,533157,1010.0
1728801288.6464036,534626,1630.0
1728801295.4746647,536333,730.0
1728801298.516794,537095,1580.0
1728801308.5989976,539618,1760.0
1728801320.8808146,540370,1840.0
1728801326.3259757,541669,1270.0
1728801328.748267,542243,870.0
1728801330.502259,542660,390.0
1728801333.174562,543290,1390.0
1728801336.5791032,544094,1530.0
1728801341.9248867,545351,1230.0
1728801345.9786634,546309,2530.0
1728801352.4973407,547862,940.0
1728801355.1911786,548510,1060.0
1728801371.003636,550608,1250.0
1728801375.3222828,551654,1430.0
1728801377.7506557,552257,930.0
1728801380.1848884,552840,980.0
1728801384.2505615,553843,1280.0
1728801388.0455124,554739,1450.0
1728801392.4208362,555774,1650.0
1728801395.7756934,556568,1320.0
1728801406.7202146,559155,1370.0
1728801409.4201863,559792,1310.0
1728801420.1666448,560287,910.0
1728801422.953488,560948,790.0
1728801427.1725595,561949,1540.0
1728801431.5573516,562984,2780.0
1728801433.7610974,563504,710.0
1728801436.3780923,564121,850.0
1728801439.67121,564898,1580.0
1728801452.503044,567976,1530.0
1728801455.2798402,568630,820.0
1728801460.1957483,569790,1630.0
1728801469.721187,570330,930.0
1728801479.1186123,572563,1380.0
1728801482.9284432,573470,1110.0
1728801486.2572966,574265,1310.0
1728801490.5904305,575293,600.0
1728801494.5845845,576243,1010.0
1728801500.151529,577591,2140.0
1728801506.714191,579180,1140.0
1728801519.2044332,580096,1380.0
1728801523.0080178,581003,2650.0
1728801531.5180604,583021,980.0
1728801534.2381752,583665,810.0
1728801536.8780508,584293,860.0
